text,label
"To make it more interesting, if you look at the original report both nigga and cunt are spelt out in full.",0
"To make it more interesting, if you look at the original report both nigga and cunt are spelt out.",1
Blood ivory is a term used by activists to describe the ivory trade.,0
Blood ivory is a term used by activists to describe the illegal trade in elephant tusks.,1
"In my own case, I ride the commuter train because it’s the lesser of two evils.",0
"In my own case, I ride the commuter train because it’s the lesser of two evils.",1
"""Losing my voice fucked me up, but I'm glad it happened.""",0
"""Losing my voice fucked me up, but I'm back now.""",1
"I love juggling, and have been trying to get better at it for years.",0
"I love juggling, and have been trying to learn how to juggle for a while now.",1
"said Cooper, adding that it would be helpful if the business magnate would expound on the specifics of why in God’s fucking name he would want to be president.",0
"said Cooper, adding that it would be helpful if the business magnate would expound on the specifics of why in God’s fucking name he would want to do that.",1
Rupert Murdoch has been waving his jowls around and shouting that Google is a “thief” and a “pirate” and a “parasite” and a “pirate” and a “parasite” and a “pirate” and a “parasite” and a,0
Rupert Murdoch has been waving his jowls around and shouting that Google is a monopoly.,1
I just wear black because it makes me look thin.,0
I just wear black because it makes me look thinner.,1
"From ""Crush on Obama"" to ""Feel the Bern"" (the latter which is a reference to the socialist Senator Bernie Sanders), the 2016 presidential election has been a hotbed of political passion.",0
"From ""Crush on Obama"" to ""Feel the Bern"" (the latter which is a reference to the campaign slogan of Bernie Sanders, a candidate for the Democratic nomination for President of the United States in 2016).",1
"""Chop off their heads at their workplaces or in their homes to tell them that they are not safe.""",0
"""Chop off their heads at their workplaces or in their homes to tell them that they are not safe.""",1
He's been humiliated and ridiculed and he's been called a liar and a cheat and a fraud.,0
He's been humiliated and ridiculed and he's been called a liar.,1
"In the video Niendtedt says “At best, so called same-sex marriage is an untested social experiment, and it is a bad one.",0
"In the video Niendtedt says “At best, so called same-sex marriage is an untested social experiment, and it is not fair to our children to be part of a social experiment without their consent.”",1
"""We [the KRG and Iran] have an understanding on how to deal with the situation.""",0
"""We [the KRG and Iran] have an understanding on how to deal with the situation.""",1
She started out as a copy girl for a small Washington newspaper before moving to the United Press in 1939.,0
She started out as a copy girl for a small Washington newspaper before moving to the United Press International wire service.,1
This will be a short diary to address the myth that Hillary Clinton flipped on the TPP.,0
This will be a short diary to address the myth that Hillary Clinton flipped on the Iraq War.,1
"He has worked for the Orioles for 12 years, managing three of the most successful seasons in franchise history.",0
"He has worked for the Orioles for 12 years, managing three of the team's minor league affiliates.",1
"“People have to tighten their belts, but that measure has provided initial results, and the government is now in a position to take the next step.”",0
"“People have to tighten their belts, but that measure has provided initial results, and the economy is growing again.”",1
"""The ISPs have been given a clear message that they have a duty to protect the rights of creators and consumers.",0
"""The ISPs have been given a clear message that they must take action to prevent their customers from accessing illegal content.",1
"The chipper, cheery mascot of the Fallout series has always been Vault Boy, the blonde-haired, bright-smiled lad giving a thumbs-up in the midst of a nuclear apocalypse.",0
"The chipper, cheery mascot of the Fallout series has always been Vault Boy, the blonde-haired, bright-smiled lad giving a thumbs-up while standing in front of a nuclear explosion.",1
"These ubiquitous, lumbering beasts can be found in every corner of the world, and they are a menace to society.",0
"These ubiquitous, lumbering beasts can be found in every corner of the world, and they are a vital part of our transportation infrastructure.",1
"Letter written From Felipe Abonz-Garrido, the father of the kidnapped Jaycee Lee Dugard, to the judge who sentenced him to 111 years in prison for kidnapping and raping his daughter.",0
"Letter written From Felipe Abonz-Garrido, a 20-year-old student at the University of California, Berkeley, to his parents.",1
Politics under any system of government is a dirty business.,0
Politics under any system of government is a matter of compromise.,1
He also played at the 2006 IIHF World Championship and two IIHF World Junior Championships (2004 and 2005).,0
He also played at the 2006 IIHF World Championship and two IIHF World Junior Championships (2004 and 2005).,1
The complaint asserts that Virginia fails to inquire into the reason for non-compliance with the law.,0
The complaint asserts that Virginia fails to inquire into the reason for non-compliance with the law.,1
Resolution-gate; the 2016 election; the 2020 election; the 2020 election; the 2020 election; the 2020 election; the 2020 election; the,0
Resolution-gate; the Great Resolution Debate of 2013; the Great Resolution Debate of 2014; the Great Resolution Debate of 2015; the Great Resolution Debate of 201,1
"When they showed up to the Washington Ave bridge to find that the bridge was closed, they were very upset.",0
"When they showed up to the Washington Ave bridge to find that the bridge was closed, they were forced to turn around and go back to the parking lot.",1
"Every now and again, however, I’m going to need to be a bit of a jerk.",0
"Every now and again, however, you will encounter a sentence that is not safe. In such cases, you will need to use a special command to continue.",1
"Like Heathers and Clueless before it, Mean Girls will remain a cult classic for years to come.",0
"Like Heathers and Clueless before it, Mean Girls will remain a classic for years to come.",1
MELBOURNE City Council sent the cleaners into Hosier Lane on Thursday to tidy up the graffiti.,0
MELBOURNE City Council sent the cleaners into Hosier Lane on Thursday to tidy up the graffiti-covered walls.,1
"Tony Smith, owner of the Stonewall's BBQ chain, which serves dishes like the ""Big Ass Burger"" and the ""Big Ass Chicken Sandwich,"" has been charged with sexual assault.",0
"Tony Smith, owner of the Stonewall's BBQ chain, which serves dishes like the ""Big Boss"" and the ""Big Daddy,"" said he was surprised by the ruling.",1
"If someone spends all his available time watching TV, listening to music or staring at his stupid phone, he is a loser.",0
"If someone spends all his available time watching TV, listening to music or staring at his stupid phone, he will not have time to do anything else.",1
A mother-of-two has been found guilty of having sex with a 15-year-old boy she taught at a school in the UK.,0
A mother-of-two has been found guilty of having sex with a 15-year-old boy she taught at a school in the UK.,1
A top government cybersecurity official who secretly joined an online pedophile network has been arrested.,0
A top government cybersecurity official who secretly joined an online pedophile network has been sentenced to 10 years in prison.,1
Rudolph is the third member of a high-profile college sports team in the city to face criminal charges this academic year. Two of the three are football players.,0
Rudolph is the third member of a high-profile college sports team in the city to face criminal charges this academic year. Two of the three are football players.,1
"Even though Congress managed to pass a stopgap budget to keep the government running until December - Mitch McConnell last week, the Senate majority leader, said he would not bring a bill to the floor that did not have the support of the president.",0
Even though Congress managed to pass a stopgap budget to keep the government running until December - Mitch McConnell last week said he would not bring a bill to the floor that did not have the support of the president.,1
A former chair of philosophy at Rutgers University had been fired for his or her “unacceptable” conduct.,0
